,name,id,nametype,recclass,mass,fall,year,reclat,reclong,GeoLocation
26341,Naryilco,16918,Valid,LL6,27000.0,Found,1975.0,-28.6,141.15,"(-28.600000, 141.150000)"
26343,Nashville (iron),16920,Valid,Iron,18000.0,Found,1934.0,35.96667,-77.96667,"(35.966670, -77.966670)"
26344,Nashville (stone),16921,Valid,L6,25000.0,Found,1939.0,37.45,-98.41667,"(37.450000, -98.416670)"
26345,Navajo,16926,Valid,"Iron, IIAB",2184000.0,Found,1921.0,35.33333,-109.5,"(35.333330, -109.500000)"
26348,Nazareth (b),16929,Valid,L6,3600.0,Found,1967.0,34.5,-102.25,"(34.500000, -102.250000)"
26350,Nazareth (d),16931,Valid,H6,1500.0,Found,1968.0,34.58333,-102.08333,"(34.583330, -102.083330)"
26351,Nazareth (e),16932,Valid,H6,13100.0,Found,1977.0,34.58333,-102.05,"(34.583330, -102.050000)"
26352,Nazareth (iron),16933,Valid,"Iron, IIIAB",11310.0,Found,1968.0,34.52667,-102.105,"(34.526670, -102.105000)"
26353,Needles,16936,Valid,"Iron, IID",45300.0,Found,1962.0,34.44417,-114.8325,"(34.444170, -114.832500)"
26354,Needmore,16937,Valid,OC,1793.0,Found,1976.0,34.04472,-102.79917,"(34.044720, -102.799170)"
26355,Neenach,16938,Valid,L6,13800.0,Found,1948.0,34.8,-118.5,"(34.800000, -118.500000)"
26356,Negrillos,16939,Valid,"Iron, IIAB",28500.0,Found,1936.0,-19.88333,-69.83333,"(-19.883330, -69.833330)"
26357,Nelson County,16942,Valid,"Iron, IIIF",73030.0,Found,1856.0,37.75,-85.5,"(37.750000, -85.500000)"
26358,Nenntmannsdorf,16943,Valid,"Iron, IIAB",12500.0,Found,1872.0,50.96667,13.95,"(50.966670, 13.950000)"
26359,Neptune Mountains,16944,Valid,"Iron, IAB complex",1070.0,Found,1964.0,-83.25,-55.0,"(-83.250000, -55.000000)"
26360,Ness County (1894),16946,Valid,L6,82000.0,Found,1894.0,38.5,-99.6,"(38.500000, -99.600000)"
26361,Ness County (1938),16947,Valid,H4,652.0,Found,1938.0,38.48333,-99.91667,"(38.483330, -99.916670)"
26363,Netschaëvo,16949,Valid,"Iron, IIE-an",250000.0,Found,1846.0,54.23333,35.15,"(54.233330, 35.150000)"
26364,New Almelo,16951,Valid,L5,8000.0,Found,1917.0,39.66667,-100.0,"(39.666670, -100.000000)"
26365,New Baltimore,16952,Valid,"Iron, ungrouped",20000.0,Found,1922.0,40.0,-78.85,"(40.000000, -78.850000)"
26367,New Leipzig,16955,Valid,"Iron, IAB-MG",20000.0,Found,1936.0,46.36667,-101.95,"(46.366670, -101.950000)"
26368,New Lynn,16956,Valid,L6,800.0,Found,1986.0,33.17,-101.63833,"(33.170000, -101.638330)"
26372,New Raymer,30758,Valid,LL4,3400.0,Found,1995.0,40.62583,-103.84033,"(40.625830, -103.840330)"
26373,New Westville,16961,Valid,"Iron, IVA",4800.0,Found,1941.0,39.8,-84.81667,"(39.800000, -84.816670)"
26374,New York,55760,Valid,"Iron, IIIAB",2950.0,Found,1965.0,0.0,0.0,"(0.000000, 0.000000)"
26375,Newport,16962,Valid,"Pallasite, PMG",5600.0,Found,1923.0,35.6,-91.26667,"(35.600000, -91.266670)"
26376,Newsom,16963,Valid,L6,892.0,Found,1939.0,37.6,-105.83333,"(37.600000, -105.833330)"
26378,Nicolás Levalle,52413,Valid,L5,60000.0,Found,1956.0,-38.85028,-62.87889,"(-38.850280, -62.878890)"
26382,Nimberrin,16979,Valid,L6,786.0,Found,1970.0,-31.51667,117.96667,"(-31.516670, 117.966670)"
26384,Nocoleche,16987,Valid,"Iron, IC-an",20000.0,Found,1895.0,-29.86667,144.21667,"(-29.866670, 144.216670)"
26385,Noktat Addagmar,47710,Valid,LL5,779.0,Found,2006.0,25.7025,-10.78167,"(25.702500, -10.781670)"
26387,Norcateur,16991,Valid,L6,3200.0,Found,1940.0,39.81667,-100.2,"(39.816670, -100.200000)"
26388,Nordheim,16992,Valid,"Iron, ungrouped",15150.0,Found,1932.0,28.86667,-97.61667,"(28.866670, -97.616670)"
26389,Norfolk,16993,Valid,"Iron, IIIAB",23000.0,Found,1907.0,36.9,-76.3,"(36.900000, -76.300000)"
26391,Norquín,16996,Valid,"Iron, IIIAB",19250.0,Found,1945.0,-37.71667,-70.61667,"(-37.716670, -70.616670)"
26392,Norristown,16997,Valid,"Iron, IIIAB",4200.0,Found,1965.0,32.51667,-82.55,"(32.516670, -82.550000)"
26393,North Chile,17001,Valid,"Iron, IIAB",300000.0,Found,1875.0,-23.0,-69.0,"(-23.000000, -69.000000)"
26395,North Forrest,17003,Valid,H5,608.9,Found,1969.0,-30.5,128.1,"(-30.500000, 128.100000)"
26396,Northwest Africa 025,17035,Valid,L6,510.0,Found,1999.0,30.33333,-5.83333,"(30.333330, -5.833330)"
26397,North Haig,17004,Valid,Ureilite-pmict,964.0,Found,1961.0,-30.21667,126.21667,"(-30.216670, 126.216670)"
26400,North West Forrest (E6),17007,Valid,EL6,4400.0,Found,1971.0,-30.6,127.81667,"(-30.600000, 127.816670)"
26403,Northbranch,17010,Valid,H5,76000.0,Found,1972.0,39.99167,-98.34167,"(39.991670, -98.341670)"
26405,Northeast Africa 002,34270,Valid,"Iron, IID-an",5480.0,Found,2004.0,,,
26407,Northwest Africa 001,17011,Valid,L6,1200.0,Found,1999.0,,,
26416,Northwest Africa 010,17020,Valid,H4,2000.0,Found,1999.0,29.91667,-5.58333,"(29.916670, -5.583330)"
26430,Northwest Africa 024,17034,Valid,H4,800.0,Found,1999.0,29.91667,-5.58333,"(29.916670, -5.583330)"
26431,Northwest Africa 026,17036,Valid,L6,1265.0,Found,1999.0,30.33333,-5.83333,"(30.333330, -5.833330)"
26432,Northwest Africa 027,17037,Valid,H5,705.0,Found,1999.0,30.33333,-5.83333,"(30.333330, -5.833330)"
26436,Northwest Africa 031,17041,Valid,H5,730.0,Found,1999.0,30.33333,-5.83333,"(30.333330, -5.833330)"
26439,Northwest Africa 034,17044,Valid,L4,3500.0,Found,1999.0,32.05,-3.03333,"(32.050000, -3.033330)"
26440,Northwest Africa 035,17045,Valid,L6,950.0,Found,1999.0,27.16667,-9.5,"(27.166670, -9.500000)"
26442,Northwest Africa 037,17047,Valid,L6,775.0,Found,1999.0,27.16667,-9.5,"(27.166670, -9.500000)"
26452,Northwest Africa 047,17057,Valid,Eucrite,5200.0,Found,2000.0,,,
26453,Northwest Africa 048,17058,Valid,LL6,851.0,Found,,,,
26455,Northwest Africa 050,17060,Valid,H5,1145.0,Found,,29.91667,-5.58333,"(29.916670, -5.583330)"
